Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
03-08-2016,129.65,129.96,129.27,129.95,5010700,129.65,-47.5942547,127.89,124.22,NA,91.8071714,2016,8,2,3
04-08-2016,129.87,130.28,129.82,130.01,4908100,129.87,16.968857,127.89,124.47,NA,91.4980063,2016,8,3,3
05-08-2016,127.55,128.55,127.39,128.46,16205100,127.55,-178.63957440000001,127.75,124.68,NA,98.6600069,2016,8,4,3
08-08-2016,127.44,127.7,127.27,127.29,6773800,127.44,-8.624116599999999,127.65,124.9,NA,96.6979302,2016,8,0,3
09-08-2016,127.96,128.14,127.75,127.94,7500400,127.96,40.8032512,127.69,125.15,NA,89.6156518,2016,8,1,3
10-08-2016,128.56,129.2,128.15,129.12,6196200,128.56,46.8895341,127.71,125.4,NA,87.8212685,2016,8,2,3
11-08-2016,127.67,129.19,127.48,128.61,9763800,127.67,-69.2283297,127.72,125.63,NA,87.4659083,2016,8,3,3
12-08-2016,127.4,129.26,127.2,127.67,15395800,127.4,-21.1480103,127.75,125.87,NA,87.13203750000001,2016,8,4,3
15-08-2016,127.84,128.25,127.6,127.62,4530800,127.84,34.536484,127.79,126.05,NA,87.3824424,2016,8,0,3
16-08-2016,128.47,129.04,128.0,128.12,8678100,128.47,49.2807338,127.85,126.24,NA,87.9628442,2016,8,1,3
17-08-2016,128.5,128.99,127.46,128.17,12034800,128.5,2.3350804999999997,128.01,126.43,NA,80.7694835,2016,8,2,3
18-08-2016,129.11,129.17,128.58,128.89,9500600,129.11,47.4708646,128.1,126.6,NA,74.36991549999999,2016,8,3,3
19-08-2016,127.97,128.67,127.86,128.08,10660100,127.97,-88.29675350000001,128.18,126.73,NA,75.22065860000001,2016,8,4,3
22-08-2016,127.78,127.92,127.45,127.63,8627200,127.78,-14.8474205,128.3,126.86,NA,73.2682295,2016,8,0,3
23-08-2016,127.76,128.22,127.61,128.14,9038500,127.76,-1.5649275,128.38,126.96,NA,72.8879929,2016,8,1,3
24-08-2016,126.34,126.97,126.3,126.92,13539700,126.34,-111.1463505,128.3,127.03,NA,67.8801623,2016,8,2,3
25-08-2016,126.23,126.31,125.96,125.98,5926300,126.23,-8.7061092,128.23,127.08,NA,67.67811660000001,2016,8,3,3
26-08-2016,126.05,128.11,125.82,126.88,17967700,126.05,-14.259708500000002,128.08,127.15,NA,62.648729,2016,8,4,3
29-08-2016,126.3,126.48,125.93,126.0,5562400,126.3,19.833399,127.94,127.2,NA,62.6801057,2016,8,0,3
30-08-2016,125.03,125.95,124.88,125.73,9877000,125.03,-100.5545718,127.67,127.24,NA,61.73709830000001,2016,8,1,3
31-08-2016,124.78,125.11,124.64,124.73,13324100,124.78,-19.9952013,127.43,127.32,NA,61.4030282,2016,8,2,3
01-09-2016,125.29,125.51,124.55,124.67,12877700,125.29,40.872106200000005,127.2,127.4,NA,62.3639578,2016,9,3,3
02-09-2016,126.57,126.57,125.58,126.29,11318600,126.57,102.1628837,127.15,127.53,NA,55.4630524,2016,9,4,3
06-09-2016,128.71,129.08,127.27,127.4,15115300,128.71,169.0769554,127.22,127.59,NA,67.55073150000001,2016,9,1,3
07-09-2016,128.27,128.86,128.12,128.79,8859800,128.27,-34.1855659,127.23,127.62,NA,67.55027179999999,2016,9,2,3
08-09-2016,127.59,128.52,127.4,128.16,10561800,127.59,-53.0137922,127.18,127.66,NA,67.7050571,2016,9,3,3
09-09-2016,126.75,127.51,126.7,127.24,12485600,126.75,-65.8355954,127.14,127.68,NA,67.5359263,2016,9,4,3
12-09-2016,126.59,126.92,125.97,126.31,11140300,126.59,-12.623563099999998,127.1,127.69,NA,67.4448555,2016,9,0,3
13-09-2016,125.75,126.6,125.53,126.47,8866400,125.75,-66.3556649,126.99,127.63,NA,68.2598715,2016,9,1,3
14-09-2016,126.18,126.54,126.03,126.1,5820700,126.18,34.1948553,126.88,127.57,NA,67.6742205,2016,9,2,3
15-09-2016,125.37,126.1,124.91,125.73,12790400,125.37,-64.1938149,126.72,127.47,NA,68.72642719999999,2016,9,3,3
16-09-2016,125.06,125.25,124.67,124.81,18995100,125.06,-24.7272219,126.52,127.38,NA,67.314453,2016,9,4,3
19-09-2016,125.32,125.62,125.25,125.61,4959600,125.32,20.790191999999998,126.39,127.27,NA,65.518794,2016,9,0,3
